0ad a26-17
0ad-data a26-2
a52dec 0.8.0-2
aalib 1.4rc5-18
abseil-cpp 20240722.0-1
accountsservice 23.13.9-2
acl 2.3.2-1
adobe-source-code-pro-fonts 2.042u+1.062i+1.026vf-2
adwaita-cursors 47.0-1
adwaita-icon-theme 47.0-1
adwaita-icon-theme-legacy 46.2-3
alacritty 0.13.2-3
alembic 1.8.6-3
alsa-card-profiles 1:1.2.4-1
alsa-lib 1.2.12-1
alsa-plugins 1:1.2.12-3
alsa-topology-conf 1.2.5.1-4
alsa-ucm-conf 1.2.12-1
alsa-utils 1.2.12-1
amberol-debug 0.10.3-1
aml 0.3.0-2
aom 3.10.0-1
apache 2.4.62-1
apple-music-bin 2.1.2-1
appstream 1.0.3-1
appstream-glib 0.8.3-2
apr 1.7.5-3
apr-util 1.6.3-2
archlinux-artwork 1.6-6
archlinux-keyring 20240709-2
archlinux-themes-sddm 2.0-1
argon2 20190702-6
aribb24 1.0.3-4
at-spi2-core 2.54.0-2
atkmm 2.28.4-1
attr 2.5.2-1
audacious-plugins 4.4-1
audiofile 0.3.6-9
audit 4.0.2-2
aura-bin 4.0.7-1
aura-bin-debug 4.0.7-1
autoconf 2.72-1
automake 1.17-1
avahi 1:0.8+r194+g3f79789-2
avizo 1.3-1
avizo-debug 1.3-1
ayatana-ido 0.10.4-1
azote 1.13.0-1
baobab 47.0-1
base 3-2
base-devel 1-2
base16-manager 1.2.1-1
base16-universal-manager 1.0-1
base16-universal-manager-debug 1.0-1
bash 5.2.032-2
bashtop 0.9.25-2
bc 1.07.1-5
bettergruvbox-gtk-theme 1.0-1
binutils 2.43+r4+g7999dae6961-1
bison 3.8.2-8
blas 3.12.0-5
blender 17:4.2.1-2
blosc 1.21.6-1
bluez 5.78-1
bluez-libs 5.78-1
bluez-utils 5.78-1
bmon 4.0-5
bolt 0.9.8-1
boost-libs 1.86.0-2
brightnessctl 0.5.1-3
brltty 6.6-11
brotli 1.1.0-2
btop 1.3.2-1
btrfs-progs 6.10.1-2
bubblewrap 0.10.0-1
bzip2 1.0.8-6
c-ares 1.33.1-1
ca-certificates 20240618-1
ca-certificates-mozilla 3.104-1
ca-certificates-utils 20240618-1
cairo 1.18.2-1
cairomm 1.14.5-1
cairomm-1.16 1.18.0-1
cantarell-fonts 1:0.303.1-2
catch2 3.6.0-1
catppuccin-gtk-theme-frappe 1.0.3-1
catppuccin-gtk-theme-latte 1.0.3-1
catppuccin-gtk-theme-macchiato 1.0.3-1
catppuccin-gtk-theme-mocha 1.0.3-1
cava 0.10.2-2
cava-debug 0.10.2-2
cblas 3.12.0-5
cdparanoia 10.2-9
chromaprint 1.5.1-8
cider-bin-debug 1.6.3-3
cifs-utils 7.0-5
cksfv 1.3.15-2
clang 18.1.8-2
clucene 2.3.3.4-15
cmake 3.30.3-2
cmocka 1.1.7-2
cmus 2.11.0-1
colloid-catppuccin-gtk-theme-git 2024.06.18.r35.gd269edf-1
colloid-gruvbox-gtk-theme-git 2024.06.18.r35.gd269edf-1
